order_id,user_id,product_id,quantity,order_date,revenue
5001,653,1113,3,2025-08-22,17892
5002,736,1011,1,2025-09-27,9584
5003,504,1067,2,2025-09-07,11954
5004,8,1080,3,2025-08-02,21117
5005,1236,1039,3,2025-08-12,21903
5006,242,1095,1,2025-07-27,4481
5007,680,1103,1,2025-08-15,3787
5008,1219,1015,1,2025-08-09,805
5009,683,1060,2,2025-07-06,8632
5010,567,1069,1,2025-08-10,4213
5011,351,1010,1,2025-08-09,5009
5012,191,1105,2,2025-09-28,3180
5013,666,1059,3,2025-09-01,19539
5014,211,1052,1,2025-07-14,766
5015,988,1050,1,2025-07-09,7830
5016,1190,1116,3,2025-09-20,26133
5017,482,1056,1,2025-09-28,9613
5018,598,1104,1,2025-09-18,1368
5019,229,1078,3,2025-07-23,7992
5020,1091,1030,3,2025-08-18,24501
5021,140,1002,1,2025-08-22,8491
5022,1217,1085,1,2025-07-28,4533
5023,567,1099,1,2025-08-24,3838
5024,306,1095,3,2025-09-13,13443
5025,200,1059,3,2025-09-17,19539
5026,437,1098,1,2025-07-06,5936
5027,1192,1006,1,2025-07-18,1145
5028,1285,1106,3,2025-08-08,19200
5029,1214,1075,1,2025-08-11,7799
5030,297,1028,1,2025-09-17,1660
5031,1033,1005,1,2025-08-24,6367
5032,759,1081,3,2025-08-29,26160
5033,113,1066,1,2025-09-25,6750
5034,1189,1112,2,2025-09-28,2300
5035,591,1010,3,2025-07-14,15027
5036,1065,1083,1,2025-08-12,8492
5037,533,1030,3,2025-08-31,24501
5038,1097,1037,2,2025-07-24,18240
5039,906,1044,2,2025-09-27,15514
5040,732,1012,3,2025-08-11,9114
5041,115,1117,3,2025-09-24,14160
5042,278,1046,1,2025-07-21,6589
5043,27,1018,3,2025-09-05,27255
5044,1101,1001,2,2025-07-13,18572
5045,1444,1037,1,2025-09-10,9120
5046,1048,1036,2,2025-07-19,18418
5047,1166,1087,2,2025-09-01,3932
5048,1264,1087,2,2025-08-15,3932
5049,1185,1013,3,2025-09-14,28116
5050,889,1120,2,2025-09-11,5494
5051,1324,1021,2,2025-08-02,4152
5052,1330,1098,2,2025-07-17,11872
5053,1229,1028,1,2025-08-06,1660
5054,815,1088,2,2025-07-28,14876
5055,726,1078,3,2025-09-24,7992
5056,1347,1082,2,2025-08-26,5416
5057,84,1057,1,2025-08-15,3033
5058,1200,1028,1,2025-09-13,1660
5059,315,1004,3,2025-07-11,10980
5060,145,1071,2,2025-09-16,2770
5061,1386,1029,2,2025-09-21,17100
5062,305,1017,2,2025-09-26,18658
5063,543,1044,1,2025-07-24,7757
5064,386,1110,1,2025-07-04,3553
5065,239,1022,1,2025-07-20,1216
5066,1186,1077,3,2025-09-09,15738
5067,647,1071,3,2025-07-09,4155
5068,332,1080,2,2025-07-27,14078
5069,735,1113,3,2025-08-03,17892
5070,850,1047,2,2025-09-19,11596
5071,1329,1052,3,2025-07-26,2298
5072,740,1059,1,2025-07-13,6513
5073,757,1118,2,2025-07-16,19182
5074,1110,1074,2,2025-07-07,6016
5075,121,1079,1,2025-08-11,9861
5076,415,1031,1,2025-09-15,6412
5077,779,1045,3,2025-09-19,28533
5078,1420,1087,2,2025-09-07,3932
5079,463,1089,1,2025-08-24,5753
5080,259,1082,3,2025-09-04,8124
5081,679,1110,3,2025-09-13,10659
5082,679,1104,2,2025-08-18,2736
5083,43,1107,3,2025-09-25,15873
5084,501,1118,1,2025-07-06,9591
5085,1260,1009,2,2025-07-22,12390
5086,425,1029,1,2025-07-26,8550
5087,173,1038,2,2025-08-26,6860
5088,567,1119,3,2025-07-30,8952
