product_id,category,product_name,price,rating
1001,Electronics,Smart Watch 1,9286,4.7
1002,Electronics,Smart Watch 2,8491,3.8
1003,Electronics,Keyboard 3,6189,4.7
1004,Electronics,Laptop Bag 4,3660,3.5
1005,Electronics,Laptop Bag 5,6367,4.6
1006,Electronics,Speaker 6,1145,4.2
1007,Electronics,Laptop Bag 7,9658,3.9
1008,Electronics,Laptop Bag 8,3608,4.4
1009,Electronics,Keyboard 9,6195,4.0
1010,Electronics,Laptop Bag 10,5009,4.8
1011,Electronics,Keyboard 11,9584,3.7
1012,Electronics,Keyboard 12,3038,4.2
1013,Electronics,Speaker 13,9372,4.1
1014,Electronics,Earbuds 14,8788,4.1
1015,Electronics,Smart Watch 15,805,4.4
1016,Electronics,Speaker 16,4411,4.0
1017,Electronics,Earbuds 17,9329,4.7
1018,Electronics,Smart Watch 18,9085,4.5
1019,Electronics,Keyboard 19,3024,4.4
1020,Electronics,Speaker 20,7213,4.5
1021,Electronics,Earbuds 21,2076,4.3
1022,Electronics,Earbuds 22,1216,4.8
1023,Electronics,Smart Watch 23,3425,4.8
1024,Electronics,Smart Watch 24,2252,4.2
1025,Fashion,Running Shoes 1,1020,4.4
1026,Fashion,Jeans 2,8525,4.3
1027,Fashion,Jacket 3,4692,3.6
1028,Fashion,Backpack 4,1660,3.5
1029,Fashion,Backpack 5,8550,4.9
1030,Fashion,Running Shoes 6,8167,4.7
1031,Fashion,Running Shoes 7,6412,4.3
1032,Fashion,Jeans 8,6545,4.7
1033,Fashion,Running Shoes 9,4854,4.3
1034,Fashion,Running Shoes 10,5478,3.6
1035,Fashion,Backpack 11,9010,3.6
1036,Fashion,Backpack 12,9209,4.1
1037,Fashion,Backpack 13,9120,4.5
1038,Fashion,Jacket 14,3430,4.3
1039,Fashion,Jacket 15,7301,4.6
1040,Fashion,Jacket 16,6363,4.5
1041,Fashion,Jeans 17,2204,3.8
1042,Fashion,Backpack 18,9509,4.1
1043,Fashion,T-Shirt 19,3090,4.3
1044,Fashion,Jacket 20,7757,4.9
1045,Fashion,T-Shirt 21,9511,5.0
1046,Fashion,T-Shirt 22,6589,4.1
1047,Fashion,Jeans 23,5798,4.4
1048,Fashion,Jacket 24,9438,3.8
1049,Home,Cookware 1,4661,4.0
1050,Home,Chair 2,7830,4.9
1051,Home,Blender 3,1066,5.0
1052,Home,Cookware 4,766,4.3
1053,Home,Lamp 5,606,4.0
1054,Home,Vacuum Cleaner 6,4018,4.8
1055,Home,Blender 7,5020,4.9
1056,Home,Cookware 8,9613,4.4
1057,Home,Cookware 9,3033,3.6
1058,Home,Chair 10,6326,3.7
1059,Home,Lamp 11,6513,4.8
1060,Home,Vacuum Cleaner 12,4316,3.9
1061,Home,Lamp 13,2004,4.4
1062,Home,Cookware 14,4061,4.6
1063,Home,Lamp 15,8404,3.8
1064,Home,Cookware 16,2061,4.4
1065,Home,Lamp 17,1111,4.6
1066,Home,Cookware 18,6750,3.6
1067,Home,Blender 19,5977,4.0
1068,Home,Chair 20,7323,4.9
1069,Home,Blender 21,4213,4.6
1070,Home,Cookware 22,686,4.5
1071,Home,Chair 23,1385,4.0
1072,Home,Blender 24,5730,4.3
1073,Beauty,Face Wash 1,5853,4.3
1074,Beauty,Face Wash 2,3008,3.6
1075,Beauty,Trimmer 3,7799,4.6
1076,Beauty,Shampoo 4,8768,3.6
1077,Beauty,Trimmer 5,5246,4.7
1078,Beauty,Face Wash 6,2664,4.0
1079,Beauty,Trimmer 7,9861,4.6
1080,Beauty,Shampoo 8,7039,3.9
1081,Beauty,Trimmer 9,8720,4.2
1082,Beauty,Face Wash 10,2708,4.2
1083,Beauty,Face Wash 11,8492,4.1
1084,Beauty,Shampoo 12,3711,4.3
1085,Beauty,Shampoo 13,4533,3.9
1086,Beauty,Perfume 14,7545,4.0
1087,Beauty,Shampoo 15,1966,3.7
1088,Beauty,Trimmer 16,7438,4.0
1089,Beauty,Face Wash 17,5753,4.0
1090,Beauty,Hair Dryer 18,5493,3.8
1091,Beauty,Perfume 19,7744,4.4
1092,Beauty,Trimmer 20,1234,4.9
1093,Beauty,Face Wash 21,3770,4.5
1094,Beauty,Face Wash 22,1904,3.7
1095,Beauty,Hair Dryer 23,4481,4.9
1096,Beauty,Face Wash 24,5212,3.5
1097,Books,Productivity Book 1,5498,4.2
1098,Books,Productivity Book 2,5936,3.8
1099,Books,Finance Book 3,3838,4.3
1100,Books,SQL Book 4,9490,4.2
1101,Books,Finance Book 5,800,4.1
1102,Books,Productivity Book 6,4684,3.8
1103,Books,SQL Book 7,3787,4.7
1104,Books,SQL Book 8,1368,4.2
1105,Books,Productivity Book 9,1590,4.1
1106,Books,SQL Book 10,6400,4.8
1107,Books,Productivity Book 11,5291,4.8
1108,Books,Python Book 12,4286,5.0
1109,Books,Productivity Book 13,5667,4.2
1110,Books,Productivity Book 14,3553,3.8
1111,Books,Python Book 15,9685,4.9
1112,Books,Productivity Book 16,1150,3.9
1113,Books,SQL Book 17,5964,4.2
1114,Books,Finance Book 18,800,4.0
1115,Books,SQL Book 19,6321,4.4
1116,Books,Finance Book 20,8711,3.9
1117,Books,Productivity Book 21,4720,4.8
1118,Books,Productivity Book 22,9591,4.9
1119,Books,Finance Book 23,2984,4.0
1120,Books,Python Book 24,2747,3.6
