user_id,signup_date,city,device_type,acquisition_channel
1,2025-06-13,Mumbai,Mobile,Instagram
2,2025-03-04,Chennai,Mobile,Organic
3,2025-06-23,Jaipur,Mobile,Referral
4,2025-04-19,Bangalore,Mobile,Organic
5,2025-02-25,Chennai,Tablet,Referral
6,2025-01-07,Jaipur,Mobile,Referral
7,2025-04-18,Chennai,Desktop,Referral
8,2025-03-13,Bangalore,Mobile,LinkedIn
9,2025-03-29,Hyderabad,Mobile,Google Ads
10,2025-03-28,Mumbai,Mobile,LinkedIn
11,2025-01-25,Pune,Desktop,Referral
12,2025-03-09,Bangalore,Tablet,LinkedIn
13,2025-05-18,Mumbai,Desktop,Organic
14,2025-05-22,Hyderabad,Tablet,Referral
15,2025-04-03,Kochi,Mobile,Organic
16,2025-01-12,Chennai,Desktop,Organic
17,2025-03-01,Mumbai,Desktop,Instagram
18,2025-04-27,Pune,Mobile,Instagram
19,2025-04-01,Chennai,Tablet,Instagram
20,2025-06-29,Mumbai,Tablet,Google Ads
21,2025-05-17,Chennai,Mobile,LinkedIn
22,2025-04-08,Hyderabad,Tablet,Referral
23,2025-02-26,Pune,Mobile,Google Ads
24,2025-01-09,Pune,Desktop,Instagram
25,2025-01-17,Chennai,Tablet,Instagram
26,2025-02-24,Ahmedabad,Desktop,LinkedIn
27,2025-02-06,Hyderabad,Mobile,Google Ads
28,2025-05-24,Jaipur,Desktop,Referral
29,2025-04-20,Kochi,Desktop,Instagram
30,2025-02-26,Delhi,Tablet,LinkedIn
31,2025-01-24,Bangalore,Mobile,Google Ads
32,2025-06-10,Delhi,Tablet,LinkedIn
33,2025-06-02,Mumbai,Desktop,LinkedIn
34,2025-06-02,Ahmedabad,Tablet,Instagram
35,2025-05-22,Bangalore,Tablet,Organic
36,2025-06-24,Jaipur,Desktop,Instagram
37,2025-01-29,Hyderabad,Desktop,Google Ads
38,2025-04-27,Bangalore,Tablet,Instagram
39,2025-05-09,Delhi,Tablet,Organic
40,2025-06-10,Hyderabad,Tablet,Referral
41,2025-06-05,Chennai,Mobile,Instagram
42,2025-02-11,Jaipur,Tablet,Organic
43,2025-06-03,Pune,Desktop,Organic
44,2025-01-29,Pune,Desktop,Google Ads
45,2025-01-15,Chennai,Tablet,Organic
46,2025-01-22,Ahmedabad,Mobile,Referral
47,2025-02-02,Delhi,Tablet,LinkedIn
48,2025-05-21,Delhi,Desktop,Referral
49,2025-06-05,Kolkata,Mobile,Referral
50,2025-06-26,Chennai,Tablet,Instagram
51,2025-04-13,Pune,Desktop,Referral
52,2025-04-26,Mumbai,Mobile,Google Ads
53,2025-01-17,Pune,Mobile,Referral
54,2025-05-22,Chennai,Tablet,Google Ads
55,2025-01-02,Mumbai,Tablet,Organic
56,2025-02-28,Mumbai,Mobile,Instagram
57,2025-01-19,Jaipur,Mobile,Instagram
58,2025-06-21,Ahmedabad,Mobile,Referral
59,2025-02-03,Kochi,Tablet,LinkedIn
60,2025-03-04,Ahmedabad,Desktop,Google Ads
61,2025-01-25,Mumbai,Tablet,LinkedIn
62,2025-04-01,Kolkata,Desktop,LinkedIn
63,2025-01-14,Mumbai,Mobile,LinkedIn
64,2025-03-28,Mumbai,Mobile,Google Ads
65,2025-02-18,Jaipur,Desktop,Google Ads
66,2025-04-19,Delhi,Desktop,LinkedIn
67,2025-03-05,Mumbai,Desktop,Referral
68,2025-01-26,Bangalore,Tablet,Referral
69,2025-01-04,Mumbai,Mobile,Google Ads
70,2025-04-15,Ahmedabad,Desktop,Google Ads
